565.5,553.9,524.7,495.5,466.4,437.2,"Sanitas, Medbase MultiAccess",526.5,515.7,488.5,461.4,434.3,407.1
540.2,528.5,506.3,477.1,441,411.9,"Swica, FAVORIT SANTE",502.4,491.5,470.9,443.7,410.2,383
564.6,558,523.8,494.6,465.5,436.3,"Visana, Managed Care",527.7,521.5,489.6,462.3,435,407.8
604.3,592.7,563.5,534.3,505.2,476,"Vivacare, Managed Care",564.8,553.9,526.7,499.4,472.2,444.9
529.8,518.1,489,459.8,430.6,401.5,"Vivao Sympany, casamed hmo",492.8,481.9,454.8,427.7,400.5,373.4
"Bundesamt für Gesundheit, 3003 Bern",,,,,,,,September 2023,,,,
"Office fédéral de la santé publique, 3003 Berne",,,,,,7/28,,Septembre 2023,,review-2023-09-24,,
,,,,,,Prämien – HMO,,,,,,
,,,,,,Primes – HMO,,,,,,
Mit Unfall / avec risque accidents,,,,,,2024,VD,Ohne Unfall / sans risque accidents,,,,
Franchise / Franchise,,,,,,Erwachsene / Adultes,,,,Franchise / Franchise,,
300,500,1000,1500,2000,2500,Region / Région 2,300,500,1000,1500,2000,2500
499.7,488.1,458.9,429.7,400.6,371.4,"Atupri, HMO",474.7,463.7,436,408.2,380.6,352.8
518.4,506.9,477.9,448.4,419.4,390.4,"Avenir, OptiMed",482.2,471.5,444.5,417.1,390.1,363.1
503.2,491.6,462.4,433.2,404.1,374.9,"Concordia, HMO",475.6,464.6,437,409.4,381.9,354.3
524.9,513.4,484.4,454.9,425.9,396.9,"Easy Sana, OptiMed",488.2,477.5,450.5,423.1,396.1,369.2
677.9,666.2,637.1,607.9,578.7,549.6,"Galenos, Managed Care",630.5,619.6,592.5,565.4,538.3,511.1
488.5,476.9,447.7,418.5,,360.2,"KPT, KPTwin.plus",454.3,443.5,416.4,389.2,,335
527.9,516.4,487.4,457.9,428.9,399.9,"Mutuel, OptiMed",491,480.3,453.3,425.9,398.9,372
566.2,554.6,525.4,496.2,467.1,437.9,"ÖKK, Gesundheitszentrum",526.6,515.8,488.7,461.5,434.5,407.3
506.3,494.8,465.8,436.3,407.3,378.3,"Philos, OptiMed",470.9,460.2,433.2,405.8,378.8,351.9
545.2,533.6,504.4,475.2,446.1,416.9,"Sana24, Managed Care",509.6,498.7,471.4,444.2,416.9,389.6
562.9,551.2,522.1,492.9,463.7,434.6,"Sana24, Managed Care ohne Capitation",526.1,515.2,487.9,460.7,433.4,406.2
562.5,550.9,521.7,492.5,463.4,434.2,"Sanitas, Medbase MultiAccess",523.7,512.9,485.8,458.6,431.5,404.3
519,507.3,484.8,455.6,419.8,390.7,"Swica, FAVORIT SANTE",482.7,471.8,450.9,423.7,390.4,363.3
541.9,535.2,501.1,471.9,442.7,413.6,"Visana, Managed Care",506.5,500.2,468.3,441,413.8,386.5
573.3,561.6,532.4,503.3,474.1,444.9,"Vivacare, Managed Care",535.8,524.9,497.6,470.4,443.1,415.8
539.3,527.6,498.4,469.3,440.1,410.9,"Vivao Sympany, casamed hmo",501.6,490.7,463.6,436.5,409.3,382.2
"Bundesamt für Gesundheit, 3003 Bern",,,,,,,,September 2023,,,,
"Office fédéral de la santé publique, 3003 Berne",,,,,,8/28,,Septembre 2023,,review-2023-09-24,,
,,,,,Prämien – Grundversicherung,,,,,,,
,,,,,Primes – Assurance de base,,,,,,,
Mit Unfall / avec risque accidents,,,,,,2024,VD,Ohne Unfall / sans risque accidents,,,,
Franchise / Franchise,,,,,,Junge Erwachsene / Jeunes adultes,,,,Franchise / Franchise,,
300,500,1000,1500,2000,2500,Region / Région 1,300,500,1000,1500,2000,2500
443,431.3,402.2,373,343.8,314.7,Agrisano,420.9,409.7,382.1,354.4,326.6,299
447.3,435.7,406.5,377.4,348.2,319,Aquilana,416,405.3,378.1,351,323.9,296.7
474.6,463,433.8,404.6,375.5,346.3,Assura,441.4,430.6,403.5,376.3,349.3,322.1
416,404.4,375.2,346,316.9,287.7,Atupri,395.2,384.2,356.4,328.7,301.1,273.3
490.4,478.9,449.9,420.4,391.4,362.4,Avenir,456.1,445.4,418.5,391,364.1,337.1
465,453.4,424.2,395,365.9,336.7,Concordia,439.5,428.5,400.9,373.3,345.8,318.2
474.8,463.2,434,404.8,375.7,346.5,CSS,441.5,430.7,403.6,376.4,349.4,322.2
492.5,481,452,422.5,393.5,364.5,Easy Sana,458.1,447.4,420.4,393,366,339
415.1,403.4,374.2,345.1,315.9,286.7,EGK,390.2,379.2,351.8,324.4,297,269.5
697.1,685.4,656.2,627.1,597.9,568.7,Galenos,648.3,637.5,610.3,583.2,556.1,529
504.8,493.2,464,434.8,405.7,376.5,Helsana,469.5,458.7,431.6,404.4,377.4,350.2
561.6,552.2,528.9,505.6,482.2,458.9,KLuG,544.7,535.7,513.1,490.4,467.8,445.2
516.6,505,475.8,446.6,,388.3,KPT,480.4,469.7,442.5,415.3,,361.1
500.8,489.3,460.3,430.8,401.8,372.8,Mutuel,465.8,455.1,428.1,400.7,373.7,346.8
500.8,489.2,460,430.8,401.7,372.5,ÖKK,465.8,455,427.8,400.7,373.6,346.5
526.5,515,486,456.5,427.5,398.5,Philos,489.7,479,452,424.6,397.6,370.7
512.6,502.7,477.9,453.4,428.7,404,Rhenusana,476.8,467.6,444.5,421.7,398.7,375.8
528.4,516.8,487.6,458.4,429.3,400.1,Sana24,493.9,483,455.7,428.5,401.2,373.9
404.9,393.3,364.1,334.9,305.8,276.6,Sanitas,377,366.2,339,311.8,284.7,257.6
528.5,517,488,458.5,429.5,400.5,Supra,491.6,480.9,453.9,426.5,399.5,372.5
519.4,507.8,478.6,449.4,420.3,391.1,Swica,483.1,472.2,445.1,418,390.9,363.7
476.3,469.6,435.4,406.3,377.1,347.9,Visana,445.1,438.9,407,379.7,352.4,325.2
536,525.3,498.5,471.7,439.5,412.7,Vita Surselva,532.8,522.2,495.5,468.9,436.9,410.2
523.7,512.1,482.9,453.7,424.6,395.4,Vivacare,489.5,478.6,451.3,424.1,396.8,369.6
462,450.4,421.2,392,362.9,333.7,Vivao Sympany,429.7,418.9,391.8,364.6,337.5,310.4
"Bundesamt für Gesundheit, 3003 Bern",,,,,,,,September 2023,,,,
"Office fédéral de la santé publique, 3003 Berne",,,,,,9/28,,Septembre 2023,,review-2023-09-24,,
,,,,,Prämien – Grundversicherung,,,,,,,
,,,,,Primes – Assurance de base,,,,,,,
Mit Unfall / avec risque accidents,,,,,,2024,VD,Ohne Unfall / sans risque accidents,,,,
Franchise / Franchise,,,,,,Junge Erwachsene / Jeunes adultes,,,,Franchise / Franchise,,
300,500,1000,1500,2000,2500,Region / Région 2,300,500,1000,1500,2000,2500
387.2,375.5,346.4,317.2,288,258.9,Agrisano,367.8,356.7,329.1,301.3,273.6,246
425.9,414.3,385.1,356,326.8,297.6,Aquilana,396.1,385.3,358.2,331.1,304,276.8
434.3,422.7,393.5,364.3,335.2,306,Assura,403.9,393.2,366,338.8,311.8,284.6
393.1,381.5,352.3,323.1,294,264.8,Atupri,373.4,362.4,334.7,306.9,279.3,251.6
456.1,444.6,415.6,386.1,357.1,328.1,Avenir,424.2,413.5,386.6,359.1,332.2,305.2
441.4,429.8,400.6,371.4,342.3,313.1,Concordia,417.2,406.2,378.6,351,323.5,295.9
447.8,436.2,407,377.8,348.7,319.5,CSS,416.4,405.6,378.5,351.3,324.2,297.1
458.1,446.6,417.6,388.1,359.1,330.1,Easy Sana,426.1,415.4,388.4,361,334,307
359.1,347.4,318.3,289.1,259.9,230.7,EGK,337.6,326.6,299.3,271.8,244.4,216.9
636,624.3,595.2,566,536.8,507.7,Galenos,591.5,580.7,553.5,526.4,499.3,472.2
481.6,470,440.8,411.6,382.5,353.3,Helsana,447.9,437.1,410,382.8,355.8,328.6
525.5,516.1,492.8,469.5,446.1,422.8,KLuG,509.7,500.6,478,455.4,432.7,410.1
462.9,451.3,422.1,392.9,,334.6,KPT,430.5,419.7,392.6,365.4,,311.2
470.8,459.3,430.3,400.8,371.8,342.8,Mutuel,437.9,427.2,400.2,372.8,345.8,318.9
476.8,465.2,436,406.8,377.7,348.5,ÖKK,443.5,432.7,405.5,378.4,351.3,324.2
463.4,451.9,422.9,393.4,364.4,335.4,Philos,431,420.3,393.3,365.9,338.9,312
491.4,481.5,456.8,432.2,407.4,382.8,Rhenusana,457.1,447.8,424.9,402,378.9,356.1
503.4,491.7,462.6,433.4,404.2,375.1,Sana24,470.5,459.6,432.3,405.1,377.8,350.6
402.7,391.1,361.9,332.7,303.6,274.4,Sanitas,375,364.2,337,309.8,282.7,255.5
496.8,485.3,456.3,426.8,397.8,368.8,Supra,462.1,451.4,424.4,397,370,343
499,487.4,458.2,429,399.9,370.7,Swica,464.1,453.3,426.1,399,371.9,344.8
457.1,450.4,416.2,387.1,357.9,328.7,Visana,427.2,421,389,361.8,334.5,307.3
508,497.9,472.5,442,411.5,381,Vita Surselva,505,494.9,469.6,439.3,409.1,378.7
496.2,484.6,455.4,426.2,397.1,367.9,Vivacare,463.8,452.9,425.6,398.4,371.1,343.9
470.3,458.6,429.5,400.3,371.1,342,Vivao Sympany,437.4,426.5,399.5,372.3,345.2,318.1
"Bundesamt für Gesundheit, 3003 Bern",,,,,,,,September 2023,,,,
"Office fédéral de la santé publique, 3003 Berne",,,,,,10/28,,Septembre 2023,,review-2023-09-24,,
,,,Prämien – Weitere Versicherungsmodelle,,,,,,,,,
,,,,Primes – Autres modèles d'assurance,,,,,,,,
Mit Unfall / avec risque accidents,,,,,,2024,VD,Ohne Unfall / sans risque accidents,,,,
Franchise / Franchise,,,,,,Junge Erwachsene / Jeunes adultes,,,,Franchise / Franchise,,
300,500,1000,1500,2000,2500,Region / Région 1,300,500,1000,1500,2000,2500
389.2,379.2,353.8,328.4,299.5,268.1,"Aquilana, SMARTMED",362,352.7,329.1,305.5,278.6,249.4
417.7,406.1,376.9,347.7,318.6,289.4,"Assura, Gesundheitnetz",388.5,377.7,350.6,323.4,296.3,269.2
378.6,367,337.8,308.6,279.5,250.3,"Atupri, SmartCare",359.7,348.7,320.9,293.2,265.5,237.8
386.9,375.3,346.1,316.9,287.8,258.6,"Atupri, TelFirst",367.6,356.5,328.8,301.1,273.4,245.7
426.7,415.2,386.2,356.7,327.7,298.7,"Avenir, PrimaFlex",396.9,386.2,359.2,331.8,304.8,277.8
441.4,429.9,400.9,371.4,342.4,313.4,"Avenir, SanaTel",410.6,399.9,372.9,345.5,318.5,291.5
397.6,386,356.8,327.6,298.5,269.3,"Concordia, smartDoc",375.8,364.8,337.2,309.6,282.1,254.5
427.3,415.7,386.5,357.3,328.2,299,"CSS, Callmed",397.4,386.6,359.4,332.3,305.2,278
423.6,412.1,383.1,353.6,324.6,295.6,"Easy Sana, PrimaFlex",394,383.3,356.3,328.9,301.9,275
438.4,426.9,397.9,368.4,339.4,310.4,"Easy Sana, SanaTel",407.8,397.1,370.1,342.7,315.7,288.7
369.1,357.5,328.3,299.1,270,240.8,"EGK, EGK-TelCare",347,336.1,308.7,281.2,253.8,226.4
429,417.4,388.2,359,329.9,300.7,"Helsana, BeneFit PLUS Telmed",399,388.2,361.1,333.9,306.9,279.7
464.4,452.8,423.6,394.4,365.3,336.1,"Helsana, Premed-24",431.9,421.2,394,366.8,339.8,312.6
462.2,450.6,421.4,392.2,,333.9,"KPT, KPTwin.easy",429.8,419.1,391.9,364.7,,310.5
485.5,473.9,444.7,415.5,,357.2,"KPT, KPTwin.win",451.5,440.7,413.6,386.4,,332.2
435.7,424.2,395.2,365.7,336.7,307.7,"Mutuel, PrimaFlex",405.3,394.6,367.6,340.2,313.2,286.2
438.2,426.7,397.7,368.2,339.2,310.2,"Mutuel, SanaTel",407.6,396.9,369.9,342.5,315.5,288.5
438.2,426.6,397.4,368.2,339.1,309.9,"ÖKK, Select",407.6,396.8,369.6,342.5,315.4,288.3
463.3,451.7,422.5,393.3,364.2,335,"ÖKK, Telemedizin",430.9,420.1,393,365.8,338.8,311.6
442.3,430.8,401.8,372.3,343.3,314.3,"Philos, PrimaFlex",411.4,400.7,373.7,346.3,319.3,292.3
463.4,451.9,422.9,393.4,364.4,335.4,"Philos, SanaTel",431,420.3,393.3,365.9,338.9,312
512.6,500.9,471.8,442.6,413.4,384.3,"Sana24, Combi Care",479.1,468.2,440.9,413.7,386.4,359.1
523.1,511.5,482.3,453.1,424,394.8,"Sana24, Med Call",488.9,478,450.8,423.5,396.3,369
496.7,485.1,455.9,426.7,397.6,368.4,"Sana24, Tel Doc",464.3,453.4,426.1,398.9,371.6,344.3
392.8,381.2,352,322.8,293.7,264.5,"Sanitas, CallMed",365.7,354.9,327.8,300.6,273.5,246.3
388.8,377.2,348,318.8,289.7,260.5,"Sanitas, CompactOne",362,351.2,324,296.9,269.8,242.6
465.1,453.6,424.6,395.1,366.1,337.1,"Supra, PrimaFlex",432.6,421.9,394.9,367.5,340.5,313.6
483.1,481.8,457.8,428.7,389.1,360,"Swica, FAVORIT TELMED",449.3,448.1,425.8,398.7,361.9,334.8
462,455.3,421.2,392,362.8,333.7,"Visana, Combi Care",431.8,425.6,393.6,366.4,339.1,311.8
471.5,464.8,430.7,401.5,372.3,343.2,"Visana, Med Call",440.7,434.5,402.5,375.3,348,320.7
437.2,430.6,396.4,367.2,338.1,308.9,"Visana, Tel Care",408.7,402.4,370.5,343.2,316,288.7
442,435.3,401.2,372,342.8,313.7,"Visana, Tel Doc",413.1,406.9,374.9,347.7,320.4,293.2
492.3,480.7,451.5,422.3,393.2,364,"Vivacare, Combi Care",460.1,449.2,422,394.7,367.5,340.2
518.5,506.8,477.7,448.5,419.3,390.2,"Vivacare, Med Call",484.6,473.7,446.4,419.2,391.9,364.7
466.2,454.5,425.3,396.2,367,337.8,"Vivacare, Tel Care",435.7,424.8,397.5,370.3,343,315.8
492.3,480.7,451.5,422.3,393.2,364,"Vivacare, Tel Doc",460.1,449.2,422,394.7,367.5,340.2
390.4,378.8,349.6,320.4,291.3,262.1,"Vivao Sympany, FlexHelp 24",363.1,352.3,325.2,298,271,243.8
"Bundesamt für Gesundheit, 3003 Bern",,,,,,,,September 2023,,,,
"Office fédéral de la santé publique, 3003 Berne",,,,,,11/28,,Septembre 2023,,review-2023-09-24,,
,,,Prämien – Weitere Versicherungsmodelle,,,,,,,,,
,,,,Primes – Autres modèles d'assurance,,,,,,,,
Mit Unfall / avec risque accidents,,,,,,2024,VD,Ohne Unfall / sans risque accidents,,,,
Franchise / Franchise,,,,,,Junge Erwachsene / Jeunes adultes,,,,Franchise / Franchise,,
300,500,1000,1500,2000,2500,Region / Région 2,300,500,1000,1500,2000,2500
370.6,360.6,335.1,309.8,281.2,250.1,"Aquilana, SMARTMED",344.7,335.4,311.7,288.2,261.6,232.6
382.2,370.6,341.4,312.2,283.1,253.9,"Assura, Gesundheitnetz",355.5,344.7,317.6,290.4,263.3,236.2
345.9,334.3,305.1,275.9,246.8,217.6,"Atupri, SmartCare",328.6,317.6,289.8,262.1,234.5,206.7
345.9,334.3,305.1,275.9,246.8,217.6,"Atupri, TelFirst",328.6,317.6,289.8,262.1,234.5,206.7
396.8,385.3,356.3,326.8,297.8,268.8,"Avenir, PrimaFlex",369.1,358.4,331.4,304,277,250
410.5,399,370,340.5,311.5,282.5,"Avenir, SanaTel",381.8,371.1,344.1,316.7,289.7,262.8
377.4,365.8,336.6,307.4,278.3,249.1,"Concordia, smartDoc",356.7,345.7,318.1,290.5,263,235.4
403,391.4,362.2,333,303.9,274.7,"CSS, Callmed",374.8,364,336.8,309.7,282.6,255.4
394,382.5,353.5,324,295,266,"Easy Sana, PrimaFlex",366.5,355.8,328.8,301.4,274.4,247.4
407.7,396.2,367.2,337.7,308.7,279.7,"Easy Sana, SanaTel",379.2,368.5,341.5,314.1,287.1,260.2
342.6,331,301.8,272.6,243.5,214.3,"EGK, EGK-TelCare",322.1,311.2,283.7,256.3,228.9,201.5
409.3,397.7,368.5,339.3,310.2,281,"Helsana, BeneFit PLUS Telmed",380.7,369.9,342.8,315.6,288.5,261.4
443,431.4,402.2,373,343.9,314.7,"Helsana, Premed-24",412,401.3,374.1,346.9,319.9,292.7
416.1,404.5,375.3,346.1,,287.8,"KPT, KPTwin.easy",387,376.2,349,321.9,,267.7
436.1,424.5,395.3,366.1,,307.8,"KPT, KPTwin.win",405.6,394.8,367.6,340.5,,286.3
409.6,398.1,369.1,339.6,310.6,281.6,"Mutuel, PrimaFlex",381,370.3,343.3,315.9,288.9,261.9
412,400.5,371.5,342,313,284,"Mutuel, SanaTel",383.2,372.5,345.5,318.1,291.1,264.2
417.2,405.6,376.4,347.2,318.1,288.9,"ÖKK, Select",388,377.3,350.1,322.9,295.9,268.7
441.1,429.5,400.3,371.1,342,312.8,"ÖKK, Telemedizin",410.3,399.5,372.3,345.2,318.1,291
389.2,377.7,348.7,319.2,290.2,261.2,"Philos, PrimaFlex",362,351.3,324.3,296.9,269.9,243
407.8,396.3,367.3,337.8,308.8,279.8,"Philos, SanaTel",379.3,368.6,341.6,314.2,287.2,260.3
488.3,476.6,447.5,418.3,389.1,360,"Sana24, Combi Care",456.4,445.5,418.2,391,363.7,336.5
498.4,486.7,457.5,428.4,399.2,370,"Sana24, Med Call",465.8,454.9,427.6,400.4,373.1,345.9
473.2,461.6,432.4,403.2,374.1,344.9,"Sana24, Tel Doc",442.3,431.4,404.1,376.9,349.6,322.4
390.7,379.1,349.9,320.7,291.6,262.4,"Sanitas, CallMed",363.8,353,325.8,298.6,271.5,244.3
386.6,375,345.8,316.6,287.5,258.3,"Sanitas, CompactOne",360,349.2,322,294.8,267.7,240.5
437.2,425.7,396.7,367.2,338.2,309.2,"Supra, PrimaFlex",406.6,396,369,341.5,314.6,287.6
464.1,462.4,438.3,409.1,369.9,340.8,"Swica, FAVORIT TELMED",431.6,430.1,407.6,380.5,344.1,316.9
443.4,436.7,402.5,373.4,344.2,315,"Visana, Combi Care",414.4,408.2,376.2,349,321.7,294.5
452.5,445.8,411.7,382.5,353.3,324.2,"Visana, Med Call",422.9,416.7,384.8,357.5,330.3,303
419.6,413,378.8,349.6,320.5,291.3,"Visana, Tel Care",392.2,386,354,326.8,299.5,272.3
424.2,417.5,383.4,354.2,325,295.9,"Visana, Tel Doc",396.5,390.2,358.3,331.1,303.8,276.5
466.5,454.8,425.7,396.5,367.3,338.2,"Vivacare, Combi Care",436,425.1,397.8,370.6,343.3,316.1
491.3,479.6,450.4,421.3,392.1,362.9,"Vivacare, Med Call",459.2,448.3,421,393.7,366.5,339.2
441.7,430,400.9,371.7,342.5,313.4,"Vivacare, Tel Care",412.8,401.9,374.7,347.4,320.1,292.9
467,455.3,426.1,397,367.8,338.6,"Vivacare, Tel Doc",436.5,425.6,398.3,371,343.8,316.5
397.4,385.7,356.6,327.4,298.2,269.1,"Vivao Sympany, FlexHelp 24",369.6,358.8,331.7,304.5,277.4,250.3
"Bundesamt für Gesundheit, 3003 Bern",,,,,,,,September 2023,,,,
"Office fédéral de la santé publique, 3003 Berne",,,,,,12/28,,Septembre 2023,,review-2023-09-24,,
,,,,,Prämien – Hausarztmodell,,,,,,,
,,,,,Primes – Médecin de famille,,,,,,,
Mit Unfall / avec risque accidents,,,,,,2024,VD,Ohne Unfall / sans risque accidents,,,,
Franchise / Franchise,,,,,,Junge Erwachsene / Jeunes adultes,,,,Franchise / Franchise,,
300,500,1000,1500,2000,2500,Region / Région 1,300,500,1000,1500,2000,2500
422.4,410.8,381.6,352.4,323.3,294.1,"Assura, Hausarzt Modell",392.9,382.1,354.9,327.8,300.7,273.6
420.1,408.5,379.3,350.1,321,291.8,"Assura, PharMed",390.7,380,352.8,325.6,298.6,271.4
450.9,439.3,410.1,380.9,351.8,322.6,"Assura, PreventoMed",419.4,408.6,381.4,354.3,327.2,300.1
415.3,403.7,374.5,345.3,316.2,287,"Assura, Qualimed",386.3,375.5,348.3,321.2,294.1,267
441.4,429.9,400.9,371.4,342.4,313.4,"Avenir, PrimaCare",410.6,399.9,372.9,345.5,318.5,291.5
406.9,395.3,366.1,336.9,307.8,278.6,"Concordia, MyDoc",384.6,373.6,346,318.4,290.9,263.3
398.8,387.2,358,328.8,299.7,270.5,"CSS, Gesundheitspraxisversicherung T1",370.9,360.1,332.9,305.8,278.7,251.6
403.5,391.9,362.7,333.5,304.4,275.2,"CSS, Gesundheitspraxisversicherung T2",375.3,364.5,337.3,310.2,283.1,256
408.3,396.7,367.5,338.3,309.2,280,"CSS, Gesundheitspraxisversicherung T3",379.7,368.9,341.8,314.6,287.5,260.4
413,401.4,372.2,343,313.9,284.7,"CSS, Hausarztversicherung Profit",384.1,373.3,346.2,319,292,264.8
397.4,385.8,361.6,332.4,303.3,288.4,"CSS, Multimed",369.6,358.8,336.3,309.1,282,268.2
448.2,436.7,407.7,378.2,349.2,320.2,"Easy Sana, PrimaCare",416.9,406.2,379.2,351.8,324.8,297.8
376.5,364.9,335.7,306.5,277.4,248.2,"EGK, EGK-Care",354,343.1,315.6,288.2,260.8,233.4
587.7,576,546.8,517.7,488.5,459.3,"Galenos, Med Direct",546.5,535.7,508.6,481.4,454.3,427.2
424,412.4,383.2,354,324.9,295.7,"Helsana, BeneFit PLUS Flexmed",394.4,383.6,356.4,329.3,302.2,275.1
424,412.4,383.2,354,324.9,295.7,"Helsana, BeneFit PLUS Hausarzt R1",394.4,383.6,356.4,329.3,302.2,275.1
434.1,422.5,393.3,364.1,335,305.8,"Helsana, BeneFit PLUS Hausarzt R2",403.8,393,365.8,338.7,311.6,284.4
444.2,432.6,403.4,374.2,345.1,315.9,"Helsana, BeneFit PLUS Hausarzt R3",413.2,402.4,375.2,348.1,321,293.8
454.3,442.7,413.5,384.3,355.2,326,"Helsana, BeneFit PLUS Hausarzt R4",422.5,411.8,384.6,357.4,330.4,303.2
458.4,446.8,417.6,388.4,,330.1,"KPT, KPTwin.doc",426.3,415.5,388.4,361.2,,307
460.8,449.3,420.3,390.8,361.8,332.8,"Mutuel, PrimaCare",428.6,417.9,390.9,363.5,336.5,309.6
463.3,451.7,422.5,393.3,364.2,335,"ÖKK, Hausarzt",430.9,420.1,393,365.8,338.8,311.6
479.2,467.7,438.7,409.2,380.2,351.2,"Philos, PrimaCare",445.7,435,408,380.6,353.6,326.7
502.6,490.9,461.7,432.6,403.4,374.2,"Sana24, Med Direct",469.7,458.8,431.5,404.3,377,349.8
392.8,381.2,352,322.8,293.7,264.5,"Sanitas, CareMed",365.7,354.9,327.8,300.6,273.5,246.3
388.8,377.2,348,318.8,289.7,260.5,"Sanitas, NetMed 1",362,351.2,324,296.9,269.8,242.6
392.8,381.2,352,322.8,293.7,264.5,"Sanitas, NetMed 2",365.7,354.9,327.8,300.6,273.5,246.3
392.8,381.2,352,322.8,293.7,264.5,"Sanitas, NetMed 3",365.7,354.9,327.8,300.6,273.5,246.3
444,432.5,403.5,374,345,316,"Supra, PrimaCare",413,402.3,375.3,347.9,320.9,293.9
477.9,466.2,437.1,410.5,383.9,360,"Swica, FAVORIT CASA",444.4,433.6,406.5,381.8,357.1,334.8
477.9,466.2,437.1,410.5,383.9,360,"Swica, FAVORIT MEDICA",444.4,433.6,406.5,381.8,357.1,334.8
436.3,429.9,400.7,371.5,337.2,308,"Swica, FAVORIT MEDPHARM",405.8,399.8,372.7,345.5,313.6,286.5
444.1,442.9,424.1,394.9,358,328.8,"Swica, FAVORIT MULTICHOICE",413.1,411.9,394.4,367.3,332.9,305.8
419.2,412.5,378.3,349.2,320,290.8,"Visana, Med Direct",391.8,385.5,353.6,326.3,299.1,271.8
500.2,488.5,459.3,430.2,401,371.8,"Vivacare, Med Direct",467.5,456.6,429.3,402.1,374.8,347.5
411.2,399.6,370.4,341.2,312.1,282.9,"Vivao Sympany, callmed 24",382.5,371.7,344.5,317.4,290.3,263.1
415.8,404.2,375,345.8,316.7,287.5,"Vivao Sympany, casamed hausarzt",386.7,376,348.8,321.6,294.6,267.4
402,390.3,361.2,332,302.8,273.7,"Vivao Sympany, casamed pharm",373.9,363,336,308.8,281.7,254.6
"Bundesamt für Gesundheit, 3003 Bern",,,,,,,,September 2023,,,,
"Office fédéral de la santé publique, 3003 Berne",,,,,,13/28,,Septembre 2023,,review-2023-09-24,,
,,,,,Prämien – Hausarztmodell,,,,,,,
,,,,,Primes – Médecin de famille,,,,,,,
Mit Unfall / avec risque accidents,,,,,,2024,VD,Ohne Unfall / sans risque accidents,,,,
Franchise / Franchise,,,,,,Junge Erwachsene / Jeunes adultes,,,,Franchise / Franchise,,
300,500,1000,1500,2000,2500,Region / Région 2,300,500,1000,1500,2000,2500
394.8,383.2,354,324.8,295.7,266.5,"Assura, Hausarzt Modell",367.2,356.4,329.3,302.1,275.1,247.9
386.6,375,345.8,316.6,287.5,258.3,"Assura, PharMed",359.6,348.8,321.6,294.5,267.4,240.3
412.6,401,371.8,342.6,313.5,284.3,"Assura, PreventoMed",383.8,373,345.8,318.7,291.6,264.4
380.1,368.5,339.3,310.1,281,251.8,"Assura, Qualimed",353.5,342.8,315.6,288.4,261.4,234.2
410.5,399,370,340.5,311.5,282.5,"Avenir, PrimaCare",381.8,371.1,344.1,316.7,289.7,262.8
386.3,374.7,345.5,316.3,287.2,258,"Concordia, MyDoc",365.1,354.1,326.5,299,271.5,243.9
376.1,364.5,335.3,306.1,277,247.8,"CSS, Gesundheitspraxisversicherung T1",349.8,339,311.8,284.7,257.6,230.5
380.6,369,339.8,310.6,281.5,252.3,"CSS, Gesundheitspraxisversicherung T2",353.9,343.2,316,288.8,261.8,234.6
385.1,373.5,344.3,315.1,286,256.8,"CSS, Gesundheitspraxisversicherung T3",358.1,347.3,320.2,293,265.9,238.8
389.5,377.9,348.7,319.5,290.4,261.2,"CSS, Hausarztversicherung Profit",362.3,351.5,324.3,297.2,270.1,243
374.8,363.2,339,309.8,280.7,265.8,"CSS, Multimed",348.5,337.7,315.2,288.1,261,247.2
416.9,405.4,376.4,346.9,317.9,288.9,"Easy Sana, PrimaCare",387.8,377.1,350.1,322.7,295.7,268.7
342.6,331,301.8,272.6,243.5,214.3,"EGK, EGK-Care",322.1,311.2,283.7,256.3,228.9,201.5
543.7,532,502.8,473.7,444.5,415.3,"Galenos, Med Direct",505.6,494.8,467.7,440.5,413.4,386.3
404.5,392.9,363.7,334.5,305.4,276.2,"Helsana, BeneFit PLUS Flexmed",376.2,365.4,338.3,311.1,284.1,256.9
404.5,392.9,363.7,334.5,305.4,276.2,"Helsana, BeneFit PLUS Hausarzt R1",376.2,365.4,338.3,311.1,284.1,256.9
414.1,402.5,373.3,344.1,315,285.8,"Helsana, BeneFit PLUS Hausarzt R2",385.2,374.4,347.2,320.1,293,265.8
423.8,412.2,383,353.8,324.7,295.5,"Helsana, BeneFit PLUS Hausarzt R3",394.2,383.4,356.2,329.1,302,274.9
433.4,421.8,392.6,363.4,334.3,305.1,"Helsana, BeneFit PLUS Hausarzt R4",403.1,392.3,365.2,338,310.9,283.8
412.7,401.1,371.9,342.7,,284.4,"KPT, KPTwin.doc",383.8,373,345.9,318.7,,264.5
433.1,421.6,392.6,363.1,334.1,305.1,"Mutuel, PrimaCare",402.8,392.1,365.2,337.7,310.8,283.8
441.1,429.5,400.3,371.1,342,312.8,"ÖKK, Hausarzt",410.3,399.5,372.3,345.2,318.1,291
421.7,410.2,381.2,351.7,322.7,293.7,"Philos, PrimaCare",392.2,381.5,354.6,327.1,300.2,273.2
479.8,468.1,438.9,409.8,380.6,351.4,"Sana24, Med Direct",448.4,437.5,410.2,383,355.7,328.5
390.7,379.1,349.9,320.7,291.6,262.4,"Sanitas, CareMed",363.8,353,325.8,298.6,271.5,244.3
386.6,375,345.8,316.6,287.5,258.3,"Sanitas, NetMed 1",360,349.2,322,294.8,267.7,240.5
